Variant,PPL,ARC (%),Size (GB),VRAM (GB)
Full,8.455939540622788,64.60000000000001,,1.8078837394714355
Attn-Only,8.394947152101409,65.60000000000001,,2.772265911102295
MLP-Only,8.455800434103777,64.0,,1.9495234489440918
